사례번호,관련경영진주장,업종,규모,주제,상황,선정이유,핵심감사사항,감사인의절차
11,관계기업투자의 회수가능액 검토,금융 및 보험업,자산 2조원 이상,자산손상,"2021년 12월 31일 현재 연결회사의 관계기업투자 장부금액은 465,670백만원이며, 이 중 특정 관계기업의 장부금액은 204,555백만원으로 연결회사 자산총계 및 관계기업투자의 각각 12.1%와 43.9%를 차지하고 있습니다. 연결회사는 해당 관계기업투자의 지속적인 주가하락으로 인해 공정가치가 감소함에 따라서 유의적인 손상징후가 있다고 판단하여 회수가능액을 평가하였습니다.","연결회사는 해당 관계기업투자의 손상징후에 대하여 할인된 현금흐름법 등에 근거한 사용가치 계산을 활용해 손상검사를 수행하였습니다. 사용가치는 할인율, 성장률 및 미래현금흐름 예측 등 회사 경영진의 유의적인 판단과 추정치를 수반하므로 우리는 회수가능액 검토를 핵심감사사항으로 판단하였습니다.",관계기업투자의 회수가능액 검토,"①관계기업투자 회수가능가액 검토 프로세스 관련 통제의 이해 및 평가
②경영진이 사용가치 추정에 사용한 가치평가 모델의 적절성을 평가
③미래현금흐름 추정이 경영진에서 승인한 사업계획과 일치하는지 확인
④추정치에 낙관적인 가정이 포함되었는지 사후적으로 확인하기 위하여 당기 실제 성과와 전기 추정을 비교
⑤사용가치 추정에 사용된 매출성장률, 영업이익률 및 성장률 등 주요 가정의 합리성 평가
⑥주요 가정의 변경이 손상 평가에 미치는 영향을 평가하기 위해 경영진이 수행한 할인율 및 영구성장률에 대한 민감도 분석결과 평가"
12,수준3 파생상품 및 파생결합증권 공정가치 자체평가,금융 및 보험업,자산 2조원 이상,금융상품 공정가치 평가,"연결실체는 공정가치로 측정하는 금융상품 중 공정가치 평가 결과에 유의적인 영향을 미치는 투입 변수가 시장에서 관측 불가능한 정보에 기초한다면 동 금융상품의 공정가치는 수준3으로 분류하여 공시하고 있습니다. 특히, 종속회사는 수준3으로 분류되는 파생상품 및 파생결합증권의 공정가치를 자체평가시스템을 통해 평가하고 있습니다. 2021년 말 현재 해당 파생상품은 파생상품자산에 209,809백만원, 파생상품부채에 168,464백만원 계상되어 있습니다.","우리는 공정가치 수준3으로 분류되는 파생상품 및 파생결합증권의 평가에 수반되는 판단의 수준을 고려하여, 금융상품 가치평가기법 및 관측 불가능한 투입변수의 측정 및 관련 가정을 잘못 적용하여 공정가치가 왜곡될 위험을 핵심감사사항으로 선정하였습니다.",수준3으로 분류되는 파생상품 및 파생결합증권 관련 공정가치 자체평가,"①공정가치 평가 절차에 대한 연결실체의 통제를 평가
②전문적 기술과 지식이 있는 가치평가전문가를 활용하여, 특정 계약에 대해 적용된 가치평가기법과 관측 불가능한 투입변수를 평가
③독립적으로 개발한 가치평가 기법과 투입변수를 이용하여 산출된 공정가치를 연결실체가 평가한 공정가치와 비교"
13,수준 3 분류 금융상품의 공정가치 평가,금융 및 보험업,자산 2조원 이상,금융상품 공정가치 평가,"당기말 현재 연결회사가 보유한 수준3으로 분류 되는 금융상품자산과 금융상품부채는 각각 22,379,369천원 및 10,610,062천원이며, 핵심감사사항에서 언급한 파생상품자산 및 파생상품부채를 포함하고 있습니다.","우리는 공정가치 수준3 금융상품의 평가에 수반되는 판단의 수준을 고려하여, 금융상품 평가방법론 및 평가를 위한 투입변수를 잘못 적용하여 공정가치가 왜곡될 위험과 평가를 위한 필요한 미래 현금흐름 추정 시, 가정이 합리적이지 않아 공정가치가 왜곡될 위험을 핵심감사사항으로 선정하였습니다.",수준 3 분류 금융상품의 공정가치 평가,"①공정가치 평가에 사용하는 방법론을 검토하는 회사의 통제에 대한 평가
②경영진이 공정가치 평가에 활용한 전문가의 적격성 및 독립성평가
③미래 현금흐름과 할인율을 추정하기 위해 적용한 기초자료 등이 회사가 관리하는 자료나 확인 가능한 시장 및 거시지표 등을 고려하였을 때 합리적인지 검증
④회사가 공정가치 평가를 위해 적용한 가정이 최근 회사 상황, 시장 및 거시 지표를 적절하게 반영하고 있는지에 대한 검토
⑤비상장 지분상품 중 표본으로 추출된 상품에 대해서 회사의 평가 방법과 가정에 따라 독립적으로 공정가치 금액을 재산출하여, 회사의 평가금액과 비교"
14,대출채권에 대한 신용손실충당금 측정,금융 및 보험업,자산 2조원 이상,대손충당금,"연결실체는 당기말 현재 상각후원가측정 대출채권에 대하여 기대신용손실 모델을 이용하여 신용손실충당금으로 3,684,055백만원을 설정하고 있습니다. 신용손실충당금은 12개월 기대신용손실로, 또는 최초인식 후 신용위험이 유의적으로 증가하거나 신용이 손상된 대출채권의 경우에는 전체기간 기대신용손실로 측정됩니다. 연결실체는 개별적으로 유의한 기업대출 중 최초인식 후 신용위험이 유의적으로 증가하고 채권재조정이나 완전자본잠식 등 특정요건을 충족하거나, 신용이 손상된 경우 개별적으로 신용손실충당금을 측정합니다.","우리는 오류 발생가능성과 경영진 판단의 관여 수준, 위험의 영향을 고려하여 신용손실충당금의 측정과 관련하여 개별평가 신용손실충당금 측정을 위한 미래 회수가능한 현금흐름의 추정 시, 담보로 제공받은 자산의 가치가 과대 혹은 과소 평가되어 신용손실충당금이 왜곡될 위험과 집합평가 신용손실충당금 측정을 위한 기업차주의 내부신용등급결정시 질적 요소의 평가, 부도율 및 부도 시 손실률의 측정, 미래전망정보의 반영 시에 오류 및 부정 행위로 인해 신용손실충당금이 왜곡될 위험을 핵심감사사항으로 선정하였습니다.",대출채권에 대한 신용손실충당금의 측정,"①개별평가 신용손실충당금 측정 시 연결실체가 활용한 외부평가전문가의 업무를 포함하여 미래 회수가능한 현금흐름의 추정과 관련된 통제 평가
②집합평가 신용손실충당금 산출에 사용할 변수를 산출하고 미래전망정보의 영향을 계산하기 위한 모델과 관련된 통제 평가
③기업차주의 내부신용등급결정시 이용한 질적 요소의 평가와 관련된 통제 평가
④정보기술전문가를 활용하여 질적/양적 정보가 내부신용등급결정에 반영되는 과정의 통제 평가
⑤개별평가 신용손실충당금 측정을 위한 미래 회수가능한 담보현금흐름의 추정과 관련하여 표본을 추출하여 적정성 확인
⑥부도율 및 부도 시 손실률을 산정하는 방법론, 집합평가 신용손실충당금 산출 시 미래전망정보를 반영하는 방법 평가"
15,매출채권 손실충당금 인식,제조업,자산 2조원 이상,대손충당금,"연결실체는 반도체공정관련 장비 전문회사로서 반도체를 생산하는 다양한 국내외 고객에게 제품을 판매하며, 따라서, 고객의 신용도가 다양합니다. 또한, 그 거래규모로 인해 거래대금도 수회에 걸쳐서 회수하고 있고 고객과의 거래관계로 인해 유의적인 금액의 회수가 지연되기도 합니다. 이러한 고객의 신용상태나 거래관계로 인해 연결실체는 채권의 손상위험에 노출되어 있고 다양한 고객의 신용변화 또는 고객관계에 효과적으로 대응하지 못할 경우, 재무적인 손실이 발생할 수 있습니다.",우리는 이러한 연결실체의 영업환경과 대상 계정과목의 중요성 및 측정과정에서의 잠재 오류를 고려하여 매출채권에 대한 연결실체의 손실충당금 측정의 합리성을 핵심감사사항으로 식별하였습니다.,매출채권 손실충당금 인식,"①고객신용위험의 유의적 변화에 대한 연결실체의 식별결과가 적정한지에 대해 독립적인 신용상태 조사를 통한 검사
②유의적으로 신용위험이 상승한 고객의 채권에 대한 손실충당금설정의 합리성과 인식시점의 적정성 검사
③보고기간종료일 현재 매출채권 연령분석표에 대해 시사의 방법을 통한 기초정보와의 대사검증
④연결실체가 적용한 채무불이행경험률과 부도시손실률에 대한 독립적인 계산 검증"
16,계약자산금액의 회수가능성,건설업,자산 5천억원 이상 2조원 미만,대손충당금,"재무제표에 대한 주석에 기재한 바와 같이 계약자산금액은 16,399백만원으로 전기말 3,323백만원에 비해 394% 증가하였습니다. 계약자산은 일반적으로 관련 공정의 건설 완료 및 발주처의 검수결과 등 계약상 청구조건에 따라 청구가 가능하며, 검수결과 등에 따라 지급조건의 불가피한 변동이 발생할 가능성이 존재하므로 우리는 계약자산금액의 회수가능성을 유의적인 위험으로 식별하였습니다.",우리는 계약자산금액의 회수가능성을 유의적인 위험으로 식별하였습니다.,계약자산금액의 회수가능성,"①계약자산금액이 유의적인 공사계약을 대상으로 계약서를 통해 파악된 계약상의 청구조건에 비추어 계약자산금액이 비정상적으로 유의적인 현장이 존재하는지에 대한 검토
②공사진행률과 공사대금청구율의 차이가 유의적인 현장을 파악하여 그 원인에 대한 질문
③계약자산금액이 유의적인 공사계약을 파악하여 발주처의 재무적 리스크의 발생가능성에 대하여 질문 및 관련된 기타정보 입수를 통한 확인
④장기간 계약자산금액이 변동되지 않는 유의적인 현장이 존재하는 경우, 소송 등의 특정 사유가 존재하는지에 대한 질문"
17,계약과 직접 관련된 재고자산 평가충당금 추정의 적정성,건설기계 제조업,자산 2조원 이상,재고자산,"연결회사는 재고자산을 취득원가와 순실현가능가치 중 낮은 금액으로 측정하여, 53,875백만원의 재고자산 평가충당금을 인식하였습니다. 연결회사는 재고자산을 '계약과 직접 관련된 재고자산'과 '계약과 직접 관련되지 않은 재고자산'으로 나누어 평가충당금을 인식하고 있습니다. 계약과 직접 관련된 재고자산은 그 계약에서 손실이 예상되는 경우에 재고자산 평가충당금을 인식하며, 연결회사의 계약과 직접 관련되는 재고자산에 대한 평가충당금은 48,832백만원이며, 이는 전체 재고자산 평가충당금의 91%를 차지합니다.","연결회사의 경영진은 각 프로젝트별로 재고자산을 완성하기 위해 투입하여야 할 원재료, 경비, 가공비를 예상하여 전망원가를 추정합니다. 이러한 전망원가 추정에는 상당한 불확실성이 존재하며, 연결회사의 계약과 직접 관련된 재고자산 장부금액 152,885백만원은 총 재고자산 장부금액의 85%, 총자산의 19%를 차지하여 오류 발생 시 이로 인해 연결재무제표에 미치는 영향이 유의적입니다. 따라서, 계약과 직접 관련된 재고자산 평가충당금 추정의 적정성 평가를 핵심감사사항으로 결정하였습니다.",계약과 직접 관련된 재고자산 평가충당금 추정의 적정성 평가,"①연결회사 및 사업에 대한 이해를 기초로 재고자산 평가에 대한 연결회사의 회계정책 및 금액 산정방법의 적정성을 평가하고 재계산 검증을 수행
②재고자산 평가와 관련된 내부 통제의 수립, 설계 및 운영을 평가
③재고자산 평가충당금을 설정하기 위한 연결회사의 정책의 일관성 및 적절성을 검토
④보고기간별 총 전망원가의 주요 구성 항목별 변동에 대한 분석적 검토 및 질문을 수행
⑤유의적으로 총 전망원가가 변동된 건에 대한 변동 원인을 파악하고 필요시 증빙을 확인
⑥총 전망원가의 각 구성요소에 대해 현업부서 추정자료와 대사하고 합리성을 검토
⑦당기 중 판매된 재고자산 중 표본을 추출하여 당기 중 발생한 실제원가와 전기말 전망원가를 비교 대사하여 소급적검토를 수행"
18,재고자산평가충당금 인식,제조업,자산 2조원 이상,재고자산,"연결실체의 제품은 통상적으로 고객의 선주문 후생산방식으로 제조하나, 고객의 수요에 효과적으로 대응하기 위해 주문전 제작방식으로 생산하여 재고를 보유하기도 합니다. 이러한 선제작의 경우 고객의 영업상황에 따라 적기에 판매되지 못하는 경우 해당 재고는 시장위험에 노출될 수 있습니다. 한편, 관련 기업회계기준서는 재고자산의 원가를 회수하기 어려운 경우(예, 진부화 등), 재고자산을 취득원가 이하의 순실현가능가치로 감액하는 저가법을 적용하도록 하고 있습니다.",우리는 이러한 연결실체의 생산 및 판매정책과 관련 계정과목의 중요성 및 측정과정에서의 잠재 오류를 고려하여 재고자산에 대한 연결실체의 평가충당금 측정의 합리성을 핵심감사사항으로 식별하였습니다.,재고자산평가충당금의 인식,"①선제작된 재고 연령분석정보의 적정성 검토
②순실현가치산정시 사용한 기초정보의 적정성에 대한 시사검증
③추정판매가격에 대해 유사 제품에 대한 판매경험정보와의 비교검토
④순실현가치산정시 적용한 회사의 정책에 대해 합리성 검토"
19,내부개발비용의 자본화,제조업,자산 2조원 이상,기타,"연결회사는 차종 개발단계 부터 양산 이전단계까지 발생한 내부개발비용을 자산으로 인식하고 있습니다. 연결회사가 2021년 12월 31일 현재 무형자산으로 자본화한 개발비 장부금액은 718,945백만원으로 연결총자산의 8.7%입니다. 우리는 개발비 자본화 금액의 규모와, 개발비 지출이 회계기준 상 자본화 요건을 충족하는지 평가하는데 경영진의 판단이 포함되는 점을 고려하여 이 영역을 주목하였습니다.","특히, 연결회사의 친환경, 고효율의 고부가가치 제품개발 활동의 증가로 인해 개발비용 지출이 증가하고 있는 상황에서, 자본화의 개시 및 종료, 발생비용의 집계, 자본화 개발비의 손상여부 판단 등 개발비 회계처리 전반에 연결회사 경영진의 추정 및 판단이 요구되는 점을 고려하여, 우리는 내부개발비용의 자본화를 핵심감사사항으로 판단하였습니다.",내부개발비용의 자본화,"①연결회사의 내부창출 개발비와 관련된 회계정책이 기업회계기준서의 인식요건과 일관성이 있는지 여부에 대하여 평가
②연결회사의 내부창출 개발비와 관련된 내부통제를 이해하고 평가
③자본화 개발 프로젝트 세부 명세를 입수하여 이를 총계정원장에 기록된 금액과 대사 확인
④표본추출을 통하여 특정 프로젝트에 대한 입찰결과통지서 등의 개발비 자본화 판단 근거 문서확인
⑤표본추출을 통하여 개발비 자본화 계산에 사용된 프로젝트 별, 인원 별 노무시간 집계의 정확성 테스트
⑥표본추출을 통하여 자본화된 지출비용의 발생사실과 집계 및 배분의 정확성 테스트"
20,사업결합에 따른 이전대가 배분,제조업,자산 2조원 이상,기타,"연결회사는 당기 중 특정 회사의 지분 100%를 6,199백만원(조건부대가 포함 총 이전대가 11,007백만원)에 취득하였습니다. 연결회사는 동 거래를 통해 해당 회사의 지배력을 획득하였고, 기업회계기준서 제1103호 '사업결합'에 따라 회계처리하였습니다. 연결회사는 기업회계기준서 제1103호 '사업결합'에 따라, 취득한 자산과 인수한 부채의 공정가치를 평가하여 이전대가를 배분하였으며, 이를 위하여 독립적인 외부전문가를 활용하였습니다.","우리는 염가매수차익의 규모가 유의적인 수준이고, 이전대가의 배분 시 공정가치 평가에 유의적인 경영진의 판단이 포함된다는 점을 고려하여, 동 사업결합에 따른 이전대가 배분을 핵심감사사항으로 판단하였습니다.",사업결합에 따른 이전대가 배분,"①사업결합 이전대가 배분의 연결회사 절차 및 내부통제를 이해하고 평가
②인수계약서 상 주요 계약조건을 확인
③취득한 자산의 실재성과 인수한 부채의 완전성 확인
④이전대가 배분에 참여한 경영진측 전문가의 적격성과 독립성을 평가
⑤공정가치 평가 및 이전대가 배분에 사용된 방법론, 주요가정 및 판단에 대해 질문과 검토 수행
⑥연결회사가 취득한 기타 자산·부채의 공정가치 결정에 사용된 평가방법론에 대해 질문과 검토 수행"
21,구조화기업에 대한 연결범위 판단,금융 및 보험업,자산 2조원 이상,기타,"연결기업은 자산유동화기업에 신용이나 유동성을 공여하거나, 투자펀드에 참여하여 펀드자산의 관리, 운용 활동을 수행하는 등 구조화기업에 다양한 계약상 약정을 제공하고 있으며, 경영진은 연결기업이 구조화기업에 대하여 보유하고 있는 힘, 변동이익에 대한 노출이나 권리, 힘과 이익의 연관을 평가하여 연결범위에 포함시킬지 여부를 결정하고 있습니다.","구조화기업은 의결권 또는 유사한 권리가 피투자자의 관련활동을 지시하는 수단이 아니기 때문에 경영진은 연결범위 판단시 구조화기업의 목적과 설계에 대한 이해를 해야 하고, 계약상 포함되어 있는 다양한 조건들이 지배력에 미치는 영향을 검토해야 합니다. 즉, 지배력에 대한 경영진의 주관적인 판단에 따라 구조화기업의 연결범위 포함여부가 결정되므로, 연결범위 판단을 핵심감사사항으로 선정하였습니다.",구조화기업에 대한 연결범위 판단,"①구조화기업의 목적과 구조 설계를 파악하고, 관련 활동 판단에 대한 검토
②경영진의 지배력 판단에 대한 감사인의 독립적인 평가
③회사가 감사시 제시한 자료를 검토하여 경영진의 구조화기업에 대한 연결범위 판단이 적정하게 이루어졌는지 평가
④기존 연결범위 판단시 존재했던 구조화기업에 대한 힘, 구조화기업의 변동이익에 대한 노출이나 권리, 힘과 이익의 연관과 관련된 사실과 상황이 변화했는지에 대한 계속적 평가"
22,판매된 차량에 대한 보증 수행의무의 구분 및 관련 금액의 측정,제조업,자산 2조원 이상,기타,"연결실체는 차량을 판매 후 일정기간 동안 고객에게 무상보증을 제공하고 있으며 동 보증은 확신유형보증과 용역유형보증으로 구분됩니다. 용역유형보증의 경우 차량 판매시점에 수령하는 판매대금의 일부가 동 보증제공의무에 배분되어 향후 용역유형수행의무가 이행되는 시점에 수익으로 인식되며, 이에 따라 연결재무제표 상 계약부채가 계상됩니다. 확신유형보증의 경우 향후 연결실체가 부담할 것으로 예상되는 금액을 보고기간말 현재 충당부채로 계상해야 하는 바, 당기말 현재 연결재무제표 상 4,640,702백만원의 판매보증충당부채가 계상되어 있습니다.","보증의 수행의무는 보증의 발생기간, 미래에 발생할 추정 보증비용, 할인율 등 다양한 가정 및 연결실체의 무상보증 정책에 의해서 계산됩니다. 또한, 이러한 가정들은 연결실체가 제공하는 무상보증의 성격 및 범위에 따라 결정됩니다. 우리는 관련 부채 금액의 중요성, 경영진이 사용한 추정의 불확실성 및 가정의 복잡성과, 무상보증의 유형구분시 발생할 수 있는 오류가능성을 고려하여 동 사항을 핵심감사항목으로 선정하였습니다.",판매된 차량에 대한 보증 수행의무의 구분 및 관련 금액의 측정,"①연결실체의 회계정책상 정의된 보증의 유형분류가 한국채택국제회계기준상 원칙과 부합하는지 여부를 검토
②판매보증충당부채를 측정 및 인식하기 위한 통제활동이 적절하게 설계 및 운영되는지 여부를 평가
③전산 전문가를 활용하여 판매보증 실적을 집계하는 전산시스템의 전산일반통제 및 자동통제가 적절하게 설계 및 운영되는지 여부를 평가
④경영진이 사용한 주요 회계추정 기초자료를 내외부 정보와 비교
⑤관련 부채 측정 시 경영진이 사용한 주요 가정의 근거를 과거실적과 비교분석
⑥보고기간말 현재 관련 부채 잔액에 대한 독립적인 재계산 수행
⑦직전 보고기간말 현재 계상된 예측치와 당기 실제치를 비교"
23,완성차 판매딜러 인센티브 프로그램 관련 부채 측정,제조업,자산 2조원 이상,기타,"연결실체는 차량 판매를 촉진하기 위하여 자동차 판매딜러에게 다양한 인센티브 프로그램을 제공하고 있습니다. 연결실체는 딜러 인센티브로 인하여 향후 발생할 것으로 예상되는 금액을 미지급비용으로 연결재무제표에 반영하고 있습니다. 특히, 특정 지역 판매법인은 연결실체 전체 인센티브 금액에서 차지하는 비중이 중요하며, 인센티브 프로그램 별 다양한 조건으로 인해 관련 부채 측정 시 회계추정과 복잡한 계산절차를 수행하고 있습니다.","우리는 특정 지역 판매법인의 인센티브 금액의 중요성, 인센티브 프로그램 별로 경영진이 사용한 추정 및 계산의 복잡성으로 인하여 관련 부채가 완전하고 정확하게 측정되지 않을 위험을 고려하여 동 사항을 핵심감사항목으로 선정하였습니다.",완성차 판매딜러에게 제공된 인센티브 프로그램 관련 부채 금액의 완전하고 정확한 측정,"①연결실체의 회계정책 상 정의된 인센티브 프로그램 회계처리가 한국채택국제회계기준상 원칙에 부합하는지 여부를 검토
②부문감사인을 활용하여 인센티브 관련 부채의 중요한 비중을 차지하는 부문에 대하여 인센티브 관련 부채 측정시 사용되는 주요 추정치의 기초자료 집계과정에 대한 프로세스를 이해
③경영진이 사용한 주요 회계추정 기초자료를 내외부 정보와 비교
④관련 부채 측정 시 경영진이 사용한 가정의 근거를 과거실적과 비교분석
⑤보고기간말 현재 관련 부채 잔액에 대한 독립적인 재계산 수행
⑥직전 보고기간말 현재 계상된 예측치와 당기 실제치를 비교"
24,이연법인세자산의 실현가능성 검토,제조업,자산 2조원 이상,기타,"회사는 이연법인세자산의 장부금액을 매 보고기간 말에 검토하고, 이연법인세자산의 전부 또는 일부가 회수될 수 있을만큼 충분한 과세소득이 발생할 가능성이 더 이상 높지 않은 경우 이연법인세자산의 장부금액을 감소시킵니다. 이연법인세자산의 실현가능성 평가는 예상과세소득 추정에 대해 경영진의 판단을 요구하기 때문에 복잡성을 내포하고 있습니다. 당기말 현재 회사의 이연법인세자산은 473,770백만원으로 연결재무제표에서 차지하는 금액이 유의적입니다.","예상과세소득의 추정은 매출액 및 영업비용과 같은 주요 변수들의 고유한 불확실성과 회사 경영진의 유의적 판단이 수반되는 점을 고려하여, 우리는 이연법인세자산의 실현가능성을 유의적인 위험으로 식별하였습니다.",이연법인세자산의 실현가능성 검토,"①이연법인세자산의 실현가능성과 관련한 지배기업의 내부통제의 설계 및 운영의 효과성 평가
②전기 경영진이 추정한 예상과세소득 추정에 대한 소급적 검토
③예상과세소득 추정 시 사용된 경영진이 승인한 최근 사업계획 상의 매출액 및 영업이익률 등과 같은 주요 투입변수에 대한 평가
④연결납세제도 대상인 종속기업 및 해외 종속기업의 예상과세소득 추정 검토
⑤회사가 제시한 차감할 일시적차이 및 이월결손금의 활용시기에 대한 검토"
25,특수관계자 거래의 표시와 공시 및 비상장주식 공정가치 평가,도소매업,자산 2조원 이상,기타,"연결실체는 특수관계자와의 거래 및 채권, 채무가 재무제표에서 차지하는 비중이 유의적이며, 당기 중 투자거래 등 영업활동 이외의 거래 규모가 점차 증가하고 있습니다. 특히, 연결실체는 종속기업을 통해 해외 비상장주식 및 펀드 등에 투자하고 있으며, 이러한 거래는 연결실체의 일상적인 영업활동 외에 특수관계자를 통한 비영업적인 거래로써 해당 거래로 인해 인식한 투자주식의 공정가치 평가와 관련하여 미래 예상현금흐름 및 주요 가정에 대한 경영진의 유의적인 판단과 불확실성이 존재합니다.","또한, 특수관계자와의 다수의 거래가 존재함에 따라 특수관계자 거래 및 잔액이 적절히 공시되는 데에 오류 발생가능성이 존재합니다. 이에 우리는 특수관계자 거래의 표시 및 공시와 당기 중 특수관계자를 통해 취득한 비상장주식의 공정가치 평가를 핵심감사사항으로 식별하였습니다.",특수관계자 거래의 표시와 공시 및 비상장주식 공정가치 평가,"①주주총회 및 이사회 의사록, 전자공시내역, 세무신고자료 등의 문서 검토를 통해 특수관계자 거래 내역의 완전성 확인
②특수관계자와의 거래 및 잔액 공시를 위해 구축된 회사의 프로세스 이해 및 설계, 운영의 효과성 평가
③유의적인 특수관계자 거래에 대하여 외부 조회 및 부문감사인과의 커뮤니케이션 수행
④보고기간 중 특수관계자와의 유의적인 거래 중 정상적인 영업활동 외에 투자/재무 거래 등 비경상적 거래 식별 및 해당 거래의 발생사실에 대한 입증시사
⑤특수관계자를 통해 취득한 비상장주식의 공정가치 평가와 관련하여 회사의 외부 평가전문가의 적격성, 경험 및 전문성 평가와 객관성 및 독립성 확인
⑥감사인 측 내부평가전문가 활용을 통한 평가방법의 적정성 및 사용된 가정의 적정성 검토"
26,원수지급준비금 내 개별추산액 및 미보고건에 대한 보험금 추산액,금융 및 보험업,자산 2조원 이상,기타,"연결회사의 당기말 현재 지급준비금은 5,795,389백만원(총부채의 7.30%)으로 보험계약부채 항목으로 표시됩니다. 이 중 원수 지급준비금은 5,078,009백만원이며, 원수지급준비금은 개별추산액, 미보고건에 대한 보험금추산액(이하 'IBNR') 및 그 외 항목(장래손해조사비, 구상가능이익 등)으로 구성되어 있습니다. 개별추산액 및 IBNR은 기보고 되었거나 보고되지 않은 사고건에 대해 연결회사가 보험계약자에게 미래 지급할 것으로 기대하는 금액입니다. 연결회사는 기보고된 지급의무(개별추산액)에 대해 사고 담보 유형별 약관에 따른 손해사정, 표준손해액 등을 적용하고, 미보고된 지급의무(IBNR)에 대해서는 보험감독업무시행세칙 대분류별 통계적 기법 등을 적용한 추산액(총량추산)으로 산정하고 있습니다. 특히, 통계적 기법에 따른 IBNR은 사고년도별 적용 방법론(지급보험금 진전추이방식(PLDM), 발생손해액 진전추이방식(ILDM), 본휴에터-퍼거슨 방식(BFM), 빈도 심도 방식(FSM) 등)의 결정 및 진전계수의 결정 등에 있어 경영진의 유의적인 추정이 요구됩니다.",우리는 개별추산액 및 IBNR 산출 시 경영진의 유의적인 추정의 불확실성에 기인하여 발생할 수 있는 부정이나 오류로 인해 연결재무제표의 중요한 왜곡표시 발생 위험이 높다고 판단하여 핵심감사사항으로 선정하였습니다.,원수지급준비금 내 개별추산액 및 미보고건에 대한 보험금 추산액,"①개별추산액 및 IBNR과 관련된 회계정책이 보험업감독규정 및 보험업감독업무시행세칙을 준수하였는지 확인
②다음과 관련된 회사의 내부회계관리제도 내 통제에 대해 설계 및 운영의 효과성 테스트를 수행: 개별추산액이 약관, 표준손해액 테이블에 근거하여 정확하게 산출되었는지에 대한 검증 및 표준손해액 테이블 산출을 위한 기초데이터의 완전성, 정확성 테스트 및 표준손해액 테이블 검증
③총량추산을 위한 진전년도별 지급보험금 및 발생손해액 진전추이 산출 시 기초데이터의 완전성과 기초데이터 내 중요한 금융 및 비금융요소의 정확성 테스트
④통계적 기법에 따라 사고번호를 샘플링하여 사고번호별 개별추산액이 약관, 표준손해액 테이블에 근거하여 산출이 되었는지 검증
⑤보고기간 종료일 이후 지급된 보험금 데이터를 입수하여 통계적 기법에 따라 샘플링 후 보고기간 종료일의 개별추산액과 대사
⑥진전년도별 지급보험금 및 발생손해액 진전추이 재산출 검증
⑦사고연도별 통계적 기법 방법론 검증 및 진전계수 등 주요 변수 적정성 검증
⑧계리 전문가 및 전산 전문가를 활용하여 중요한 계리적 판단이 요구되는 사항 및 추정에 필요한 기초데이터의 완전성, 정확성 검증을 수행하고 독립적 재계산 검증"
